CUSTOMER	RETAILER	TASK	FACILITY
Deebees	TJX	Routing / Scheduling	Joliet (Joliet, IL)
Fable & Fern	Target	Routing / Scheduling	Joliet (Joliet, IL)
Dollar Sweet	Target	Routing / Scheduling	Valley View (Buena Park, CA)
Triplelite	Academy Sports & Outdoors	Routing / Scheduling	Valley View (Buena Park, CA)
SharkNinja	The Home Depot	Scheduling	Fontana (Fontana, CA)
SharkNinja	Bestbuy	Scheduling	Fontana (Fontana, CA)
SharkNinja	QVC	Scheduling	Fontana (Fontana, CA)
SharkNinja	Academy Sports & Outdoors	Scheduling	Fontana (Fontana, CA)
SharkNinja	kohls	Scheduling	Fontana (Fontana, CA)
SharkNinja	HSN	Scheduling	Fontana (Fontana, CA)
SharkNinja	TJ Maxx @ Home Goods	Scheduling	Fontana (Fontana, CA)
SharkNinja	Mexico	Scheduling	Fontana (Fontana, CA)
SharkNinja	Scheels	Scheduling	Fontana (Fontana, CA)
Gooder Foods	Gooder Foods	Routing / Scheduling	Joliet (Joliet, IL)
Seg Products	TVH	Routing / Scheduling	Airport (Ontario, CA)
ALL CUSTOMER	LTL Scheduling	Scheduling	Valley View (Buena Park, CA)
Global TV	Walgreens	Routing / Scheduling	Alessandro (Riverside, CA)
Global TV	The Home Depot	Routing / Scheduling	Alessandro (Riverside, CA)
Global TV	Mason	Routing / Scheduling	Alessandro (Riverside, CA)
Global TV	Silver Star	Routing / Scheduling	Alessandro (Riverside, CA)
Global TV	Colony Brands	Routing / Scheduling	Alessandro (Riverside, CA)
Global TV	Winston	Routing / Scheduling	Alessandro (Riverside, CA)
Global TV	Potpourri	Routing / Scheduling	Alessandro (Riverside, CA)
Global TV	Heartland	Routing / Scheduling	Alessandro (Riverside, CA)
Global TV	Walmart	Routing / Scheduling	Alessandro (Riverside, CA)
Overland	Navy Exchange	Routing / Scheduling	Alessandro (Riverside, CA)
Overland	OC Taner	Routing / Scheduling	Alessandro (Riverside, CA)
Overland	CVS	Routing / Scheduling	Alessandro (Riverside, CA)
Overland	Kohls	Routing / Scheduling	Alessandro (Riverside, CA)
Overland	Ross Stores	Routing / Scheduling	Alessandro (Riverside, CA)
Planahead	CVS	Routing / Scheduling	Alessandro (Riverside, CA)
Planahead	Peytons	Routing / Scheduling	Alessandro (Riverside, CA)
Planahead	Navy Exchange	Routing / Scheduling	Alessandro (Riverside, CA)
